n_clusters,n_dims,n_samples,algorithm,param,instance_ratio
3,2,100.0,rpkm,1,0.04
3,2,100.0,rpkm,2,0.15
3,2,100.0,rpkm,3,0.26
3,2,100.0,rpkm,4,0.56
3,2,100.0,rpkm,5,0.84
3,2,100.0,rpkm,6,0.95
3,2,1000.0,rpkm,1,0.004
3,2,1000.0,rpkm,2,0.01
3,2,1000.0,rpkm,3,0.033
3,2,1000.0,rpkm,4,0.063
3,2,1000.0,rpkm,5,0.305
3,2,1000.0,rpkm,6,0.426
3,2,10000.0,rpkm,1,0.0004
3,2,10000.0,rpkm,2,0.0008
3,2,10000.0,rpkm,3,0.004
3,2,10000.0,rpkm,4,0.007
3,2,10000.0,rpkm,5,0.0491
3,2,10000.0,rpkm,6,0.1473
3,2,100000.0,rpkm,1,4e-05
3,2,100000.0,rpkm,2,0.00011
3,2,100000.0,rpkm,3,0.00024
3,2,100000.0,rpkm,4,0.00151
3,2,100000.0,rpkm,5,0.00496
3,2,100000.0,rpkm,6,0.00566
3,2,1000000.0,rpkm,1,4e-06
3,2,1000000.0,rpkm,2,1.1e-05
3,2,1000000.0,rpkm,3,3.8e-05
3,2,1000000.0,rpkm,4,0.000139
3,2,1000000.0,rpkm,5,0.000591
3,2,1000000.0,rpkm,6,0.001141
3,4,100.0,rpkm,1,0.12
3,4,100.0,rpkm,2,0.4
3,4,100.0,rpkm,3,0.9
3,4,100.0,rpkm,4,1.0
3,4,100.0,rpkm,5,1.0
3,4,100.0,rpkm,6,1.0
3,4,1000.0,rpkm,1,0.013
3,4,1000.0,rpkm,2,0.04
3,4,1000.0,rpkm,3,0.251
3,4,1000.0,rpkm,4,0.735
3,4,1000.0,rpkm,5,0.986
3,4,1000.0,rpkm,6,1.0
3,4,10000.0,rpkm,1,0.001
3,4,10000.0,rpkm,2,0.0088
3,4,10000.0,rpkm,3,0.07
3,4,10000.0,rpkm,4,0.238
3,4,10000.0,rpkm,5,0.8544
3,4,10000.0,rpkm,6,0.99
3,4,100000.0,rpkm,1,0.00016
3,4,100000.0,rpkm,2,0.00094
3,4,100000.0,rpkm,3,0.00441
3,4,100000.0,rpkm,4,0.06816
3,4,100000.0,rpkm,5,0.38913
3,4,100000.0,rpkm,6,0.81155
3,4,1000000.0,rpkm,1,1.4e-05
3,4,1000000.0,rpkm,2,8.3e-05
3,4,1000000.0,rpkm,3,0.00094
3,4,1000000.0,rpkm,4,0.006339
3,4,1000000.0,rpkm,5,0.075652
3,4,1000000.0,rpkm,6,0.051573
3,8,100.0,rpkm,1,0.31
3,8,100.0,rpkm,2,0.99
3,8,100.0,rpkm,3,1.0
3,8,100.0,rpkm,4,1.0
3,8,100.0,rpkm,5,1.0
3,8,100.0,rpkm,6,1.0
3,8,1000.0,rpkm,1,0.185
3,8,1000.0,rpkm,2,0.462
3,8,1000.0,rpkm,3,0.992
3,8,1000.0,rpkm,4,1.0
3,8,1000.0,rpkm,5,1.0
3,8,1000.0,rpkm,6,1.0
3,8,10000.0,rpkm,1,0.0212
3,8,10000.0,rpkm,2,0.1375
3,8,10000.0,rpkm,3,0.8054
3,8,10000.0,rpkm,4,0.9921
3,8,10000.0,rpkm,5,1.0
3,8,10000.0,rpkm,6,1.0
3,8,100000.0,rpkm,1,0.00133
3,8,100000.0,rpkm,2,0.01888
3,8,100000.0,rpkm,3,0.32312
3,8,100000.0,rpkm,4,0.9618
3,8,100000.0,rpkm,5,0.9996
3,8,100000.0,rpkm,6,1.0
3,8,1000000.0,rpkm,1,0.000256
3,8,1000000.0,rpkm,2,0.004672
3,8,1000000.0,rpkm,3,0.076746
3,8,1000000.0,rpkm,4,0.541285
3,8,1000000.0,rpkm,5,0.996193
3,8,1000000.0,rpkm,6,0.999979
9,2,100.0,rpkm,1,0.2
9,2,100.0,rpkm,2,0.25
9,2,100.0,rpkm,3,0.33
9,2,100.0,rpkm,4,0.91
9,2,100.0,rpkm,5,0.91
9,2,100.0,rpkm,6,0.93
9,2,1000.0,rpkm,1,0.011
9,2,1000.0,rpkm,2,0.021
9,2,1000.0,rpkm,3,0.069
9,2,1000.0,rpkm,4,0.246
9,2,1000.0,rpkm,5,0.653
9,2,1000.0,rpkm,6,0.678
9,2,10000.0,rpkm,1,0.0011
9,2,10000.0,rpkm,2,0.0034
9,2,10000.0,rpkm,3,0.0066
9,2,10000.0,rpkm,4,0.0033
9,2,10000.0,rpkm,5,0.0867
9,2,10000.0,rpkm,6,0.1505
9,2,100000.0,rpkm,1,0.00011
9,2,100000.0,rpkm,2,0.00028
9,2,100000.0,rpkm,3,0.00086
9,2,100000.0,rpkm,4,0.00262
9,2,100000.0,rpkm,5,0.00649
9,2,100000.0,rpkm,6,0.02027
9,2,1000000.0,rpkm,1,1.3e-05
9,2,1000000.0,rpkm,2,3.3e-05
9,2,1000000.0,rpkm,3,7.2e-05
9,2,1000000.0,rpkm,4,3.3e-05
9,2,1000000.0,rpkm,5,0.000676
9,2,1000000.0,rpkm,6,0.000797
9,4,100.0,rpkm,1,0.13
9,4,100.0,rpkm,2,0.48
9,4,100.0,rpkm,3,0.78
9,4,100.0,rpkm,4,0.94
9,4,100.0,rpkm,5,0.97
9,4,100.0,rpkm,6,1.0
9,4,1000.0,rpkm,1,0.015
9,4,1000.0,rpkm,2,0.062
9,4,1000.0,rpkm,3,0.263
9,4,1000.0,rpkm,4,0.82
9,4,1000.0,rpkm,5,0.958
9,4,1000.0,rpkm,6,0.959
9,4,10000.0,rpkm,1,0.0013
9,4,10000.0,rpkm,2,0.0045
9,4,10000.0,rpkm,3,0.0557
9,4,10000.0,rpkm,4,0.2875
9,4,10000.0,rpkm,5,0.7959
9,4,10000.0,rpkm,6,0.9916
9,4,100000.0,rpkm,1,0.00014
9,4,100000.0,rpkm,2,0.00078
9,4,100000.0,rpkm,3,0.00454
9,4,100000.0,rpkm,4,0.02896
9,4,100000.0,rpkm,5,0.27558
9,4,100000.0,rpkm,6,0.74183
9,4,1000000.0,rpkm,1,1.6e-05
9,4,1000000.0,rpkm,2,0.000161
9,4,1000000.0,rpkm,3,0.001064
9,4,1000000.0,rpkm,4,0.006221
9,4,1000000.0,rpkm,5,0.061437
9,4,1000000.0,rpkm,6,0.288981
9,8,100.0,rpkm,1,0.51
9,8,100.0,rpkm,2,0.94
9,8,100.0,rpkm,3,1.0
9,8,100.0,rpkm,4,1.0
9,8,100.0,rpkm,5,1.0
9,8,100.0,rpkm,6,1.0
9,8,1000.0,rpkm,1,0.179
9,8,1000.0,rpkm,2,0.656
9,8,1000.0,rpkm,3,0.992
9,8,1000.0,rpkm,4,1.0
9,8,1000.0,rpkm,5,1.0
9,8,1000.0,rpkm,6,1.0
9,8,10000.0,rpkm,1,0.0205
9,8,10000.0,rpkm,2,0.1813
9,8,10000.0,rpkm,3,0.7371
9,8,10000.0,rpkm,4,0.9979
9,8,10000.0,rpkm,5,1.0
9,8,10000.0,rpkm,6,1.0
9,8,100000.0,rpkm,1,0.00214
9,8,100000.0,rpkm,2,0.03226
9,8,100000.0,rpkm,3,0.38727
9,8,100000.0,rpkm,4,0.89634
9,8,100000.0,rpkm,5,0.99986
9,8,100000.0,rpkm,6,1.0
9,8,1000000.0,rpkm,1,0.000254
9,8,1000000.0,rpkm,2,0.005052
9,8,1000000.0,rpkm,3,0.084471
9,8,1000000.0,rpkm,4,0.448887
9,8,1000000.0,rpkm,5,0.997466
9,8,1000000.0,rpkm,6,0.999937
